car_model,price,year_model,kms,color,fueltype
Renault Duster 1.6 Dynamique,$51.500.000,2018,73.700,Plateado,Gasolina
Renault Duster Oroch 2.0 Intens,$74.500.000,2022,24.154,Blanco,Gasolina
Renault Duster 2.0 Dynamique 4x4,$41.000.000,2014,104.000,Blanco,Gasolina
Renault Duster 1.6 Zen,$80.831.000,2024,0,Blanco,Gasolina
Renault Duster Oroch 2.0 Dynamique,$68.000.000,2020,75.700,Blanco,Gasolina
Renault Duster Oroch Mt 2.0 2018,$52.900.000,2018,77.000,Gris,Gasolina
Renault Duster Mt 2.0 4*4 2019,$56.900.000,2019,72.000,Blanco,Gasolina
Renault Duster Oroch Mt Turbo 1.3 4*4 2023,$78.900.000,2023,12.000,Blanco,Gasolina
Renault Duster 1.6 Intense,$62.000.000,2021,90.000,Rojo,Gasolina
Renault Duster Oroch Mt 4*4 2.0 2022,$73.900.000,2022,68.000,Plateado,Gasolina
Renault Duster 1.3 Iconic Aut,$88.900.000,2024,20.000,Plateado,Gasolina
Renault Duster 2.0 Dynamique,$58.900.000,2019,95.100,Gris,Gasolina
Renault Duster Oroch Mt 2.0 4*4 2020,$69.900.000,2020,72.000,Gris,Gasolina
Renault Duster Mt 2.0 4*4 2020,$58.900.000,2020,62.000,Plateado,Gasolina
Renault Duster Oroch Mt 1.3 Turbo 2023,$78.900.000,2023,17.000,Blanco,Gasolina
Renault Duster At 1.3 Turbo 2023,$78.900.000,2023,21.000,Gris,Gasolina
Renault Duster At 1.3 Turbo 2023,$78.900.000,2023,17.000,Gris,Gasolina
Renault Duster Mt 4*4 2.0 2020,$58.900.000,2020,52.000,Color not found,Gasolina
Renault Duster 2.0 Intense 4x4,$60.900.000,2020,67.000,Gris,Gasolina
Renault Duster 1.6 Zen Mt,$78.390.000,2024,0,Gris,Gasolina
Renault Duster 1.6 Expression Mecánica,$58.000.000,2020,153.000,Blanco,Gasolina
Renault Duster 1.6 Zen,$80.831.496,2023,0,Blanco,Gasolina
Renault Duster Zen,$43.000.000,2024,0,Blanco,Gasolina
Renault Duster Mt 1.3 Turbo 2023,$78.900.000,2023,31.000,Gris,Gasolina
Renault Duster 1.6 Expression,$44.000.000,2016,97.400,Gris,Gasolina
Renault Duster Dynamique Mt 2000cc 4x2,$38.900.000,2013,102.000,Negro,Gasolina
Renault Duster Mt 4 X4 2.0 2020,$58.900.000,2020,89.000,Blanco,Gasolina
Renault Duster 2.0 Dynamique 4x2,$37.490.000,2015,169.000,Gris,Gasolina
Renault Duster 2.0 Tripadvisor Intens 4X4,$58.000.000,2019,98.700,Dorado,Gasolina
Renault Duster Oroch Mt 2.0 2020,$64.900.000,2020,65.000,Blanco,Gasolina
Renault Duster Mt 2.0 4*4 2020,$58.900.000,2020,75.000,Gris,Gasolina
Renault Duster Oroch Mt 1.3turbo 4*4 2023,$78.900.000,2023,25.000,Blanco,Gasolina
Renault Duster Oroch 1.3 Intens 4x4,$98.800.000,2024,5.400,Gris,Gasolina
Renault Duster Oroch Mt Turbo 1.3 4x4 ,$79.900.000,2023,12.000,Color not found,Gasolina
Renault Duster 2.0 Dynamique 4x4,$53.990.000,2017,118.000,Color not found,Gasolina
 Renault Duster 2024,$92.990.000,2024,25.442,Blanco,Gasolina
Renault Duster 1.3 Turbo 2025 Ds,$109.800.000,2025,0,Plateado,Gasolina
Renault Duster Oroch 1.3 Intens Aut,$106.500.000,2024,0,Color not found,Gasolina
Renault Duster 1.3 Intense Cvt,$78.000.000,2023,19.000,Color not found,Gasolina
Renault Duster 1.6 Expression Mecánica,$37.900.000,2013,138.000,Color not found,Gasolina
Renault Duster Oroch 2.0 Intens,$73.990.000,2022,33.300,Blanco,Gasolina
Renault Duster Zen,$78.000.000,2024,0,Blanco,Gasolina
Renault Duster Zen,$87.000.000,2024,0,Blanco,Gasolina
Renault Duster Zen,$78.000.000,2024,0,Blanco,Gasolina
Renault Duster Zen,$25.000.000,2023,0,Blanco,Gasolina
Renault Duster 1.6 Intense,$82.000.000,2023,0,Blanco,Gasolina
